date,return,nav,cost,turnover,gross
2019-01-02,0.010258896034087472,1.0102588960340875,0.0004997501249375312,0.9995002498750625,1.0
2019-01-03,-0.027621612044874122,0.9823539167429511,0.0,0.0,1.0
2019-01-04,0.03346751577642082,1.0152308619495747,0.0,0.0,1.0
2019-01-07,0.009595328325354258,1.0249723353960132,0.0,0.0,1.0
2019-01-08,0.012375010214006332,1.0376563785156128,0.0,0.0,1.0
2019-01-09,0.005867412092354529,1.043744736098624,0.0,0.0,1.0
2019-01-10,0.0013611280529728376,1.0451654063390707,0.0,0.0,1.0
2019-01-11,0.0006795985610572597,1.0458756992452856,0.0,0.0,1.0
2019-01-14,-0.008731830884952663,1.0367432895127942,0.0,0.0,1.0
2019-01-15,0.015758234054952025,1.0530805329238377,0.0,0.0,1.0
2019-01-16,-0.0015420363650880953,1.0514566444467028,0.0,0.0,1.0
2019-01-17,0.0076239675609606206,1.059472915795721,0.0,0.0,1.0
2019-01-18,0.010535483345022412,1.0706349750545892,0.0,0.0,1.0
2019-01-22,-0.010994288401762753,1.058864105365825,0.0,0.0,1.0
2019-01-23,0.0030665097491393567,1.062111122467943,0.0,0.0,1.0
2019-01-24,-0.002961666615925007,1.058965503414127,0.0,0.0,1.0
2019-01-25,0.006515918548148036,1.065865636379672,0.0,0.0,1.0
2019-01-28,-0.009996159070712274,1.0552110739304148,0.0,0.0,1.0
2019-01-29,-0.004135025161717265,1.0508477495887898,0.0,0.0,1.0
2019-01-30,0.020954197311072287,1.0728674206775695,0.0,0.0,1.0
2019-01-31,0.009174044800853931,1.082709954460242,0.0,0.0,1.0
2019-02-01,0.0018747572921524736,1.0847397728426524,0.0,0.0,1.0
2019-02-04,0.0018708599916159585,1.0867691690849783,0.0,0.0,1.0
2019-02-05,0.0015870711153755934,1.0884939490423138,0.0,0.0,1.0
2019-02-06,0.0007456233699909554,1.0893055555688136,0.0,0.0,1.0
2019-02-07,-0.004471182042787958,1.0844350721296452,0.0,0.0,1.0
2019-02-08,0.003836663697041276,1.0885956848026834,0.0,0.0,1.0
2019-02-11,0.0,1.0885956848026834,0.0,0.0,1.0
2019-02-12,0.010439845652626234,1.0999604557301383,0.0,0.0,1.0
2019-02-13,0.0004611470557127628,1.1004676992556988,0.0,0.0,1.0
2019-02-14,-0.0011985217566761186,1.0991487647756215,0.0,0.0,1.0
2019-02-15,0.010524037297538369,1.1107162473716634,0.0,0.0,1.0
2019-02-19,0.000731237635660964,1.1115284448942817,0.0,0.0,1.0
2019-02-20,-0.00036535165894713284,1.1111223461329727,0.0,0.0,1.0
2019-02-21,0.001917695470749381,1.1132531404236004,0.0,0.0,1.0
2019-02-22,0.00710998309851818,1.1211683514363844,0.0,0.0,1.0
2019-02-25,-0.0019009641647470543,1.1190370505776552,0.0,0.0,1.0
2019-02-26,0.0,1.1190370505776552,0.0,0.0,1.0
2019-02-27,-0.002176118556852513,1.1166018932860877,0.0,0.0,1.0
2019-02-28,0.0025446316166735095,1.119443233766981,0.0,0.0,1.0
2019-03-01,0.004985465125048938,1.1250241789683983,0.0,0.0,1.0
2019-03-04,-0.007666649631335121,1.1163990127614671,0.0,0.0,1.0
2019-03-05,-0.00045450808876934534,1.115891600379873,0.0,0.0,1.0
2019-03-06,-0.005547066117568833,1.109701675892526,0.0,0.0,1.0
2019-03-07,-0.006035030612623116,1.1030045923076355,0.0,0.0,1.0
2019-03-08,-0.002852093599433725,1.099858719969769,0.0,0.0,1.0
2019-03-11,0.013101150003565598,1.1142681340428224,0.0,0.0,1.0
2019-03-12,0.004097637736091508,1.1188340011970006,0.0,0.0,1.0
2019-03-13,0.005714187399750381,1.1252272283490528,0.0,0.0,1.0
2019-03-14,0.0001801517626660587,1.1254299400176397,0.0,0.0,1.0
2019-03-15,0.00559022533518827,1.1317213469813057,0.0,0.0,1.0
2019-03-18,0.00026878890790316134,1.1320255411262115,0.0,0.0,1.0
2019-03-19,0.0021514488102556406,1.1344610361298464,0.0,0.0,1.0
2019-03-20,-0.0031257672366518108,1.1309149749918537,0.0,0.0,1.0
2019-03-21,0.01081260050376942,1.143143106820171,0.0,0.0,1.0
2019-03-22,-0.011320948414883403,1.1302016426770303,0.0,0.0,1.0
2019-03-25,0.0010818304403721335,1.1314243292178368,0.0,0.0,1.0
2019-03-26,0.0065749310893703505,1.1388633662152812,0.0,0.0,1.0
2019-03-27,-0.004921357617121425,1.133258612313097,0.0,0.0,1.0
2019-03-28,0.002158047897532933,1.1357042386787604,0.0,0.0,1.0
2019-03-29,0.006550004735444759,1.143143106820171,0.0,0.0,1.0
2019-04-01,0.0034765512629197914,1.1471173024318846,0.0,0.0,1.0
2019-04-02,-0.0018654696532924842,1.1449773899154312,0.0,0.0,1.0
2019-04-03,-0.00044508085008676534,1.1444677824053975,0.0,0.0,1.0
2019-04-04,-0.002225952552995736,1.1419202514233309,0.0,0.0,1.0
2019-04-05,0.004194117854511958,1.1467095995382544,0.0,0.0,1.0
2019-04-08,0.000622142470183773,1.1474230162810946,0.0,0.0,1.0
2019-04-09,-0.0015986846152192813,1.1455886487578175,0.0,0.0,1.0
